,Detected Normal,Not detected Normal
HTTP-,219,7.0
HTTP-IM,1,
HTTP-windowsupdate,4,
HTTPS-,61,
Other-Jabber,2,
Other-Matlab_Server,1,
Other-PossibleIMAP,1,
